date,time,opne,high,low,close,vol,maturity
01/11/2022,120100,534510,534560,519570,534510,72080,20241111
01/11/2022,130400,534720,535010,534720,535000,100890,20241111
01/11/2022,140000,535490,537090,535070,537090,27929,20241111
01/12/2022,90000,536790,536790,533510,535970,11487,20241111
01/12/2022,100200,534500,535550,533000,535000,106972,20241111
01/12/2022,110800,534650,535550,534020,534250,46346,20241111
01/12/2022,120200,534810,535920,534610,535000,11170,20241111
01/12/2022,130600,535000,535900,535000,535900,8646,20241111
01/15/2022,90000,536990,536990,534020,536000,105826,20241111
01/15/2022,100400,536010,537990,536000,536870,154443,20241111
01/15/2022,110400,537060,537110,537050,537100,32362,20241111
01/15/2022,121500,537110,537110,537100,537110,5484,20241111
01/15/2022,130100,537110,537550,537100,537550,10079,20241111
01/15/2022,144700,537940,537990,537570,537570,1461,20241111
01/16/2022,90000,536300,539000,536300,538810,176342,20241111
01/16/2022,101000,538000,538950,537930,537930,47976,20241111
01/16/2022,110400,537910,538960,537890,538950,114480,20241111
01/16/2022,120000,538980,539570,538050,538200,12677,20241111
01/16/2022,130200,539000,539900,539000,539600,31118,20241111
01/16/2022,140000,539600,540000,538830,540000,36160,20241111
01/17/2022,90000,540000,540990,539200,540030,119063,20241111
01/17/2022,100100,540060,541990,540020,541480,237279,20241111
01/17/2022,111400,540810,541900,540750,541740,50788,20241111
01/17/2022,121200,541700,541890,540830,541890,31658,20241111
01/17/2022,130600,541780,541850,540880,540890,30447,20241111
01/17/2022,140400,541790,541790,541790,541790,1,20241111
01/18/2022,90000,542980,542980,541410,541420,7506,20241111
01/18/2022,100000,541420,542000,540510,540530,68018,20241111
01/18/2022,110200,541750,541750,540520,540530,38868,20241111
01/18/2022,120100,540530,541000,540000,541000,45612,20241111
01/18/2022,135000,541010,541500,540990,541470,3000,20241111
01/18/2022,140500,541470,541470,540510,540930,36420,20241111
01/19/2022,90000,542900,542900,540510,541890,2102,20241111
01/19/2022,100100,541870,541870,540510,540610,62701,20241111
01/19/2022,110000,541290,541470,540520,540610,13439,20241111
01/19/2022,120500,541010,541990,540570,541990,97408,20241111
01/19/2022,134300,541020,541020,541000,541000,692,20241111
01/22/2022,90300,537700,542810,535050,542300,120090,20241111
01/22/2022,100100,542010,542280,540030,541130,54484,20241111
01/22/2022,110500,541170,542140,541170,542090,36474,20241111
01/22/2022,120800,540150,541890,540100,540700,30687,20241111
01/22/2022,130000,541990,542100,540800,542090,20624,20241111
01/22/2022,140100,542140,542280,541050,542280,31,20241111
01/23/2022,90600,542000,542790,540210,541000,37300,20241111
01/23/2022,100100,541010,541400,539510,539510,82132,20241111
01/23/2022,110300,539520,540990,539510,540990,27494,20241111
01/23/2022,121800,539470,539470,539450,539450,26259,20241111
01/23/2022,130000,540500,541020,540500,541000,39348,20241111
01/23/2022,140200,541390,541400,541000,541400,35030,20241111
01/24/2022,90100,541000,541000,537080,540200,56267,20241111
01/24/2022,100200,540600,540690,540200,540210,43523,20241111
01/24/2022,110500,540500,540790,540190,540790,87428,20241111
01/24/2022,120700,540690,540690,539510,539990,5191,20241111
01/24/2022,131000,539800,540500,539800,540500,2925,20241111
01/24/2022,144600,540440,540440,540000,540000,8157,20241111
01/25/2022,90000,540000,540500,538010,538520,75178,20241111
01/25/2022,100000,539940,540690,538590,540690,17790,20241111
01/25/2022,110400,540660,540690,539310,540690,71813,20241111
01/25/2022,121300,540000,540690,539600,540690,29152,20241111
01/25/2022,130100,540900,540900,540000,540900,1324,20241111
01/25/2022,142800,540900,541990,540900,541990,5992,20241111
01/26/2022,90000,541990,541990,540120,540500,28991,20241111
01/26/2022,100200,540600,541390,540030,541000,80283,20241111
01/26/2022,110500,541100,541150,540810,540860,37099,20241111
